,word,freq,meaning
242,pris,129066,taken
243,pu,128934,could
244,tête,128754,head
245,quelle,128659,those
246,sait,128125,knows
247,sommes,127717,are
248,appelle,127367,call
249,quelques,127034,a few
250,faites,125636,do
251,partir,125282,leave
252,vite,125063,quickly
253,arrête,124854,stopped
254,seule,124521,alone
255,serait,123944,would be
256,voiture,123524,car
257,enfants,123384,children
258,tuer,121829,kill
259,merde,121318,shit
260,hé,121065,hook
261,pendant,121060,during
262,idée,120671,idea
263,chance,120655,chance
264,parle,120341,speak
265,aurait,120181,would have
266,part,119964,part
267,elles,118978,they
268,jours,118455,days
269,grand,117213,grand
270,aujourd'hui,117159,Today
271,venir,116762,come
272,ami,116639,which
273,demain,116541,tomorrow
274,hein,116301,hein
275,tard,115148,late
276,puis,115038,Then
277,truc,114959,thing
278,passer,114718,pass
279,petite,114295,small
280,tant,113917,tant
281,connais,113815,know
282,combien,113220,How much
283,mec,113219,mec
284,sens,112925,sense
285,pouvez,112615,can
286,porte,110258,door
287,sortir,109313,to go out
288,super,108980,super
289,heure,108452,hour
290,contre,108451,against
291,coup,108065,coup
292,comprends,107885,understand
293,entendu,107777,heard
294,vient,107616,come
295,allons,106551,let's go
296,ensemble,106057,ensemble
297,nouveau,105566,new
298,amour,104503,love
299,importe,104429,imported
300,sang,103824,sang
301,désolée,102105,Sorry
302,cas,100615,cas
303,sous,100518,below
304,rester,99983,stay
305,amis,99948,friends
306,prends,99491,take
307,fini,98823,fine
308,hommes,98230,men
309,tué,98218,kill
310,question,97869,question
311,partie,97788,part
312,histoire,97363,history
313,devrais,97220,should
314,aide,96574,aide
315,dernière,96425,last
316,demande,95954,request
317,chercher,95887,seek
318,pensais,95747,thought
319,genre,95698,genre
320,seulement,95569,only
321,police,95229,police
322,car,94921,car
323,mois,94016,month
324,frère,94005,brother
325,laisser,93545,to leave 
326,aucun,93134,none
327,mettre,92980,put
328,eux,92010,them
329,laisse,91272,leave alone
330,chaque,91035,each
331,ville,90067,would
332,arrivé,89653,arrived
333,devrait,89639,should
334,parlé,89232,speak
335,avez-vous,88861,have you got
336,vont,88659,are going
337,longtemps,88619,a long time
338,aucune,87577,none
339,heures,87343,hours
340,bébé,86634,baby
341,place,86562,place
342,revoir,86062,goodbye
343,putain,85798,whore
344,compris,85603,Understood
345,ni,84992,in
346,savais,84626,knew
347,leurs,84050,their
348,étaient,83848,were
349,attention,83667,attention
350,donner,83428,give
351,affaire,83076,affair
352,endroit,82941,place
353,pourrais,82579,could
354,corps,82565,corps
355,façon,82429,way
356,donné,82427,given
357,est-il,82359,is it
358,voici,82156,here is
359,train,82087,train
360,dont,81842,of which
361,écoute,81813,listen
362,yeux,81633,eyes
363,trouve,81473,find
364,pouvoir,81369,power
365,type,81069,type
366,perdu,80940,lost
367,premier,80900,premier
368,première,80647,first
369,côté,80162,side
370,point,80138,point
371,tellement,80089,such
372,main,79961,main
373,tiens,79293,hold
374,sois,79031,be
375,enfant,78904,child
376,vieux,78652,old
377,matin,78600,Morning
378,venu,77238,came
379,pardon,77144,pardon
380,là-bas,76653,is-bas
381,suite,76545,suite
382,vers,76542,towards
383,minutes,76229,minutes
384,demandé,76129,request
385,venez,76029,come
386,devant,75940,in front
387,dr,75475,dr
388,enfin,75391,Finally
389,arrêter,74860,Stop
390,cause,74747,cause
391,nouvelle,74677,new
392,attendez,74608,wait
393,chambre,74591,bedroom
394,droit,74535,right
395,parti,74523,party
396,mis,74511,which
397,eau,74267,water
398,compte,74243,account
399,dirait,74046,would say
400,terre,74029,earth
401,belle,74001,belle
402,espère,73948,hope
403,aimerais,73931,would like to
404,loin,73779,far
405,as-tu,73213,Do you have
406,mari,72921,big
407,donne,72911,women
408,fin,72794,END
409,croire,72465,believe
410,mme,72376,and
411,aura,72059,aura
412,gros,71871,fat
413,boulot,71509,job
414,plutôt,71199,instead
415,chérie,71179,Dear
416,prêt,70737,ready
417,filles,70420,girls
418,bureau,70339,bureau
419,mourir,70130,die
420,hier,69937,here
421,possible,69891,possible
422,jouer,69516,play
423,demander,69293,ask
424,celui,69179,the one
425,voulait,68950,wanted to
426,beau,67782,beau
427,jeune,67609,young
428,euh,67392,uh
429,dehors,67348,out
430,docteur,67286,doctor
431,a-t-il,67118,does he have
432,confiance,67045,trust
433,appeler,67001,to call
434,années,66836,years
435,vérité,66327,truth
436,école,66151,school
437,chef,66020,chef
438,femmes,66013,women
439,propos,65929,about
440,semaine,65429,week
441,vivre,64664,live
442,regardez,64586,look
443,feu,64459,fire
444,journée,63963,daytime
445,madame,63463,madame
446,hey,63364,hey
447,téléphone,62803,phone
448,près,62659,close
449,affaires,62509,business
450,meilleur,62322,best
451,devez,62051,have to
452,dessus,62027,above
453,mains,61954,mains
454,penses,61741,thinking
455,prie,61306,to
456,équipe,61172,team
457,vas-y,61165,and vessel
458,grande,61118,big
459,manger,60951,eat
460,arriver,60824,arrive
461,dur,60815,dur
462,guerre,60533,war
463,ait,60333,belonging
464,appelé,60257,called
465,marche,60060,walk
466,sécurité,59750,security
467,garçon,59725,boy
468,essaie,59674,try
469,important,59641,important
470,dites,59498,say
471,exactement,59442,Exactly
472,font,59434,font
473,fort,59357,fort
474,presque,59183,almost
475,plein,59129,full
476,derrière,59059,behind
477,ben,59042,ben
478,mariage,58910,marriage
479,parents,58708,parents
480,capitaine,58413,captain
481,dernier,58399,last
482,fou,58314,new
483,ceux,58210,those
484,tomber,57627,to fall
485,attendre,57610,to wait for
486,vue,57392,view
487,pensé,57366,think
488,souviens,57155,remember
489,envie,56862,envy
490,fête,56661,party
491,jeu,56566,game
492,génial,56189,awesome
493,pays,55567,pays
494,garde,55293,garde
495,cours,54886,course
496,bientôt,54494,Soon
497,ii,54338,ii
498,numéro,54135,number
499,personnes,54104,people
500,cinq,54092,five
501,parfait,53772,Perfect
502,excusez-moi,53742,excuse me
503,laissé,53626,leave alone
504,ainsi,53523,Thus
505,retour,53349,back
506,semble,53159,seems
507,autant,53097,as much
508,peine,53089,penalty
509,minute,53057,minute
510,essayé,52897,try
511,plan,52873,plan
512,instant,52720,instant
513,serai,52686,lemong
514,prison,52666,prison
515,penser,52612,think
516,essayer,52345,to try
517,prend,52147,takes
518,arme,52139,armed
519,mauvais,52116,bad
520,mot,52103,against
521,travailler,51814,to work
522,quatre,51716,four
523,rentrer,51544,to return
524,regarder,51486,look
525,choix,51014,choice
526,êtes-vous,50919,are you
527,parfois,50714,Sometimes
528,film,50463,film
529,abord,50320,on board
530,voyez,50199,see
531,faute,50187,mistake
532,facile,50015,easy
533,croyais,49992,believed
534,bas,49872,down
535,changer,49767,changer
536,entendre,49655,hear
537,plaisir,49365,pleasure
538,heureux,49316,happy
539,entrer,49076,enter
540,voudrais,49061,would like
541,es-tu,48889,is your
542,propre,48778,own
543,étiez,48770,have been
544,tour,48730,tour
545,fera,48729,will
546,ensuite,48619,Next
547,garder,48491,keep
548,agent,48468,agent
549,allait,48398,was going to
550,lit,48374,lit
551,travaille,48194,work
552,adore,47930,adore
553,amie,47899,friend
554,rendre,47887,give back
555,allons-y,47877,Let's go there
556,route,47877,route
557,lieu,47846,place
558,année,47747,year
559,voit,47662,you can
560,commence,47401,commence
561,service,47219,service
562,devoir,47066,duty
563,attend,46971,attend
564,drôle,46916,funny
565,difficile,46667,difficult
566,sûre,46585,safe
567,pire,46569,worse 
568,pos,46544,pos
569,peuvent,46475,can
570,sujet,46448,subject
571,état,46353,state
572,ceci,46192,this
573,impossible,46058,impossible
574,sorte,45976,sort
575,perdre,45792,lose
576,dollars,45519,dollars
577,voulu,45504,desired
578,morte,45457,death
579,ira,45398,ira
580,faisait,45293,did
581,bizarre,45211,bizarre
582,oublié,44936,forget
583,arrêtez,44843,Stop
584,ferai,44832,will do
585,serais,44830,would be
586,tôt,44694,early
587,inquiète,44638,worry
588,payer,44636,payer
589,coeur,44598,heart
590,dès,44598,of the
591,pouvais,44535,could
592,reviens,44478,come back
593,chien,44449,dog
594,suffit,44353,enough
595,prenez,44352,take
596,pensez,44223,Think
597,café,44063,café
598,calme,44023,calm
599,cherche,43990,look for
600,montrer,43938,to show
601,parles,43864,talk
602,photo,43835,photo
603,ferme,43771,farm
604,problèmes,43735,problems
605,the,43705,the
606,cœur,43691,heart
607,sûrement,43604,certainly
608,verre,43564,glass
609,aimes,43476,likes
610,devons,43474,owe
611,veulent,43466,want
612,doute,43368,doubt
613,musique,43317,music
614,courant,43257,fluent
615,sauf,43211,except
616,moyen,43094,AVERAGE
617,nouvelles,43001,news
618,puis-je,42958,can I
619,avis,42822,notice
620,sauver,42781,save
621,hôpital,42773,hospital
622,questions,42732,questions
623,meurtre,42615,murder
624,sérieux,42566,serious
625,seconde,42558,second
626,trucs,42548,stuff
627,comprendre,42495,to understand
628,allais,42452,alla
629,esprit,42339,spirit
630,cool,42254,cool
631,mlle,42249,Miss
632,marché,42176,walk
633,fous,42174,crazy
634,laisse-moi,42013,leave me
635,haut,42011,high
636,salle,41868,room
637,malade,41746,sick
638,changé,41591,exchange
639,gentil,41586,kind
640,allé,41502,go
641,six,41391,six
642,simple,41316,simple
643,john,41222,john
644,semaines,41083,weeks
645,celle,41072,that
646,jack,41049,jack
647,appris,41022,learned
648,seigneur,40977,lord
649,dîner,40925,dinner
650,sors,40866,source
651,commencé,40850,begin
652,suppose,40694,suppose
653,chemin,40491,path
654,partout,40420,everywhere
655,bras,40381,bras
656,cul,40257,cul
657,prochaine,40242,next
658,visage,39958,face
659,h,39905,h
660,meilleure,39793,best
661,face,39743,face
662,soirée,39649,evening
663,roi,39490,roi
664,surtout,39488,Above all
665,retard,39464,retard
666,écrit,39335,writing
667,livre,39271,book
668,rapport,39270,report
669,chéri,39264,Dear
670,message,39241,message
671,voulez-vous,39216,Do you want
672,vaut,39050,worth
673,ferais,39008,would do
674,morts,38988,dead
675,boire,38949,drink
676,soyez,38926,be
677,président,38910,president
678,plait,38693,plait
679,bois,38577,drink
680,sinon,38576,Otherwise
681,erreur,38428,error
682,new,38345,new
683,ecoute,38316,listen
684,mr,38242,mr
685,rentre,38212,go home
686,rendez-vous,38209,appointment
687,devait,38107,was to
688,revenir,38040,to come back
689,joue,37977,plays
690,pauvre,37944,poor
691,devenir,37910,become
692,s,37881,s
693,rencontrer,37801,meet
694,sort,37668,sort
695,commencer,37646,to start
696,pouvait,37606,could
697,occupe,37524,busy
698,entends,37509,hear
699,souvent,37426,often
700,pièce,37391,piece
701,reçu,37374,received
702,grave,37363,grave
703,mets,37355,mets
704,intérieur,37333,interior
705,honneur,37223,honor
706,dormir,37219,sleep
707,an,37176,an
708,faux,37004,faux
709,messieurs,36835,gentlemen
710,groupe,36747,band
711,rêve,36646,dream
712,carte,36617,map 
713,aviez,36607,had
714,appel,36462,call
715,manque,36432,lack
716,envoyé,36334,sent
717,début,36194,beginning
718,sam,36188,himself
719,puisse,36184,may
720,écoutez,36099,Listen
721,laissez-moi,36081,leave me
722,bonsoir,35996,Good evening
723,content,35995,content
724,secret,35927,secret
725,venue,35831,venue
726,cher,35798,Dear
727,dis-moi,35752,Tell me
728,effet,35720,effect
729,voyons,35712,let's see
730,sac,35663,sac
731,continue,35623,continue
732,acheter,35367,buy
733,voix,35335,voice
734,certains,35311,some
735,occuper,35303,to occupy
736,noël,35247,Christmas
737,gagner,35232,earn
738,grâce,35130,grace
739,maître,35027,master
740,prix,35016,price
741,mauvaise,34877,bad
742,général,34861,general
743,âge,34813,age
744,long,34770,long
745,rue,34669,Street
746,tirer,34659,to pull
747,apprendre,34657,learn
748,cheveux,34619,hair
749,noir,34578,noir
750,promis,34465,promised
751,avaient,34446,had
752,patron,34391,patron
753,avocat,34342,lawyer
754,force,34289,force
755,accident,34178,accident
756,dix,34151,ten
757,probablement,34122,probably
758,laissez,34008,leave
759,bout,33935,bout
760,ordre,33869,order
761,armes,33850,weapons
762,cru,33759,cru
763,déteste,33715,hated
764,retrouver,33686,find
765,millions,33596,millions
766,incroyable,33500,amazing
767,voyage,33467,voyage
768,ailleurs,33452,elsewhere
769,oublie,33375,forget
770,ressemble,33348,looks like
771,bienvenue,33329,Welcome
772,disparu,33306,disappeared
773,protéger,33233,protect
774,utiliser,33138,to use
775,situation,33091,situation
776,petits,33083,small
777,aurai,33057,will have
778,veux-tu,32911,do you want
779,connaissez,32816,know
780,simplement,32775,simply
781,scène,32705,scene
782,sœur,32449,sister
783,prête,32407,ready
784,oncle,32390,uncle
785,devriez,32217,should
786,liste,32199,list
787,soeur,32041,sister
788,complètement,32034,completely
789,dos,31944,of the
790,armée,31939,army
791,paix,31914,peace
792,battre,31889,beat
793,york,31805,york
794,crime,31784,crime
795,anniversaire,31734,birthday
796,finir,31715,finish
797,réussi,31714,successful
798,agit,31654,act
799,i,31645,i
800,retourner,31576,return
801,sale,31573,sale
802,libre,31568,free
803,bouge,31554,move
804,contrôle,31553,control
805,rappelle,31538,remember
806,arrêté,31461,stopped
807,hôtel,31438,hotel
808,idiot,31388,idiot
809,okay,31277,okay
810,rencontré,31211,encounter
811,restez,31133,Stay
812,absolument,31103,absolutely
813,mots,31001,words
814,victime,30971,victim
815,impression,30923,impression
816,décidé,30860,decided
817,sympa,30825,nice
818,pars,30795,pars
819,fasse,30781,do
820,avion,30751,plane
821,bordel,30717,Brothel
822,habitude,30681,habit
823,table,30663,table
824,rouge,30645,rouge
825,système,30622,system
826,photos,30548,photos
827,médecin,30511,doctor
828,seras,30451,will be
829,bateau,30393,boat
830,stupide,30383,stupid
831,faim,30350,hunger
832,autour,30343,around
833,fond,30337,fond
834,surprise,30330,surprise
835,croyez,30274,believe
836,devais,30216,had to
837,ligne,29986,line
838,porter,29973,porter
839,imagine,29930,imagine
840,colère,29833,anger
841,clair,29823,clair
842,seront,29823,will be
843,savait,29819,knew
844,balle,29671,ball
845,gagné,29628,won
846,or,29615,or
847,hors,29603,out
848,magnifique,29550,Magnificent
849,risque,29451,risk
850,terminé,29401,finished
851,su,29297,are
852,heureuse,29291,happy
853,mission,29188,mission
854,jolie,29170,jolie
855,parlez,29154,speak
856,présent,29154,here
857,sorti,29142,got out
858,cadeau,29135,gift
859,expliquer,29117,explain
860,volé,29042,stolen
861,plusieurs,29005,several
862,gauche,29001,LEFT
863,ferait,29000,would do
864,neuf,28997,nine
865,passe-t-il,28932,he passes
866,ouvre,28901,open
867,disais,28816,said
868,dedans,28714,inside
869,disent,28687,say
870,pouvons,28614,can
871,allez-y,28516,Go for it
872,suivre,28472,follow
873,pourra,28408,may
874,inspecteur,28401,inspector
875,réponse,28389,answer
876,lumière,28373,light
877,pieds,28360,feet
878,pote,28346,bear
879,montre,28345,watch
880,pied,28324,foot
881,marcher,28292,to walk
882,charlie,28209,charlie
883,auras,28194,auras
884,envoyer,28172,send
885,vraie,28134,real
886,espèce,28096,species
887,doivent,28094,must
888,allô,27992,Hello
889,pareil,27908,The same
890,vas-tu,27844,Are you going
891,soleil,27823,sun
892,camp,27788,camp
893,fallait,27763,had to
894,coin,27733,coin
895,ignore,27730,ignore
896,moitié,27718,half
897,you,27696,you
898,selon,27696,according to
899,tenir,27689,have
900,grosse,27629,fat
901,vouloir,27622,to want
902,michael,27613,michael
903,vieille,27589,old
904,devenu,27587,became
905,continuer,27438,continue
906,rend,27333,renders
907,sortie,27301,exit
908,recherche,27273,research
909,arrière,27266,back
910,lire,27246,read
911,doucement,27137,gently
912,joli,27123,pretty
913,avance,27109,advance
914,exact,27037,exact
915,disait,26948,said
916,club,26946,club
917,arrivée,26902,arrival
918,tue,26853,tue
919,laquelle,26841,which
920,poser,26762,to set down
921,chaud,26762,hot
922,aimé,26712,love
923,david,26710,david
924,fais-tu,26655,do you do
925,tom,26651,tom
926,professeur,26619,teacher
927,quitter,26615,to leave
928,loi,26556,law
929,tueur,26498,killer
930,donne-moi,26466,give me
931,flics,26459,cops
932,connaître,26455,to know
933,lettre,26437,letter
934,forme,26420,shape
935,connaît,26384,know
936,conseil,26321,advice
937,bar,26306,bar
938,normal,26242,normal
939,danger,26235,danger
940,dangereux,26231,dangerous
941,folle,26212,many
942,jure,26199,jure
943,tiré,26123,drawn
944,essaye,26116,try
945,bonnes,26100,good
946,offre,26091,offer
947,but,26086,but
948,froid,26033,cold
949,allez-vous,25927,Are you going
950,prêts,25866,loans
951,tranquille,25861,calm
952,gamin,25847,kid
953,joe,25803,joe
954,classe,25755,class
955,joué,25739,plays
956,poste,25731,later
957,con,25665,with
958,mike,25589,mike
959,attaque,25543,attack
960,boîte,25539,box
961,enquête,25412,investigation
962,visite,25391,visit
963,juge,25363,judge
964,moi-même,25359,myself
965,bord,25332,edge
966,debout,25323,standing
967,envoie,25278,send
968,preuve,25213,evidence
969,oublier,25166,forget
970,bons,25071,good
971,vivant,25069,alive
972,ciel,25050,sky
973,lu,25036,the
974,touche,25003,touch
975,aimer,24969,to like
976,faites-vous,24953,do yourself
977,télé,24925,TV
978,met,24924,of
979,écouter,24919,listen
980,serez,24918,will be
981,ll,24887,ll
982,pourtant,24861,Yet
983,change,24860,change
984,triste,24857,sad
985,droite,24856,RIGHT
986,gueule,24853,mouth
987,tombe,24823,fall
988,sentir,24811,to feel
989,ouvrir,24803,open
990,travers,24799,through
991,santé,24796,health
992,dossier,24767,case
993,ie,24760,ie
994,jeunes,24715,youth
995,frank,24680,frank
996,coucher,24676,to sleep
997,cuisine,24649,cuisine
998,monte,24567,monte
999,pouvez-vous,24549,can you
1000,signifie,24512,means
1001,entrez,24501,Come in
1002,relation,24501,relation
1003,centre,24480,centre
1004,dame,24475,dame
1005,chacun,24467,each
1006,chanson,24452,song
1007,foutre,24434,cum
1008,voler,24427,want
1009,blanc,24420,blanc
1010,george,24408,george
1011,certain,24340,certain
1012,don,24313,don
1013,âme,24204,soul
1014,manière,24165,manner
1015,flic,24138,flic
1016,décision,24039,decision
1017,mange,24014,many
1018,vit,23971,YEAR
1019,compagnie,23968,company
1020,déjeuner,23862,lunch
1021,différent,23859,different
1022,tire,23821,tire
1023,ordres,23785,orders
1024,clé,23784,key
1025,vaisseau,23775,vessel
1026,secondes,23770,seconds
1027,enfer,23720,hell
1028,sortez,23674,get out
1029,vendre,23619,sell
1030,faisais,23540,was doing
1031,responsable,23530,responsible
1032,mecs,23501,guys
1033,nulle,23482,nothing
1034,signe,23446,sign
1035,lieutenant,23433,lieutenant
1036,aille,23431,go
1037,acheté,23393,bought
1038,étrange,23391,odd
1039,diable,23391,devil
1040,viennent,23391,are coming
1041,monter,23296,to go up
1042,là-dedans,23243,in there
1043,l,23240,l
1044,capable,23171,capable
1045,emmener,23169,take away
1046,écrire,23152,to write
1047,honte,23146,shame
1048,bouche,23143,mouth
1049,préfère,23099,favorite
1050,coupable,23084,guilty
1051,rire,23042,laugh
1052,payé,22996,paid
1053,soin,22983,care
1054,milieu,22979,medium
1055,appartement,22865,apartment
1056,prochain,22858,next
1057,cerveau,22839,brain
1058,paris,22815,paris
1059,m,22801,m
1060,blague,22769,joke
1061,choisi,22760,selected
1062,époque,22746,era
1063,aurez,22702,will have
1064,voie,22636,way
1065,réunion,22601,meeting
1066,connu,22593,known
1067,allée,22556,aisle
1068,intérêt,22538,interest
1069,cheval,22524,horse
1070,combat,22516,combat
1071,silence,22487,silence
1072,coups,22485,strokes
1073,existe,22455,exist
1074,ia,22453,it
1075,retourne,22426,return
1076,tel,22393,tel
1077,trou,22363,marry
1078,public,22293,public
1079,peter,22251,peter
1080,oeil,22186,eye
1081,pleine,22153,full
1082,cacher,22151,hide
1083,amoureux,22137,lover
1084,drogue,22119,drug
1085,commandant,22118,commandant
1086,garçons,22071,boys
1087,faisons,22048,let's do
1088,paul,21991,paul
1089,n,21978,n
1090,tient,21944,is holding
1091,est-elle,21883,is she
1092,prise,21880,socket
1093,gouvernement,21860,government
1094,dirai,21844,will say
1095,client,21828,client
1096,adresse,21825,address
1097,journal,21815,journal
1098,contact,21797,contact
1099,dingue,21787,crazy
1100,sent,21757,sent
1101,récupérer,21729,to recover
1102,base,21713,base
1103,preuves,21712,evidence
1104,présente,21683,present
1105,peau,21661,skin
1106,servir,21656,serve
1107,peuple,21655,people
1108,exemple,21652,example
1109,fiche,21652,form
1110,max,21608,max
1111,promets,21565,promotion
1112,lequel,21558,which
1113,blessé,21552,hurt
1114,c,21528,c
1115,société,21526,Company
1116,tort,21494,tort
1117,sept,21493,sept
1118,pourriez,21456,could
1119,savent,21437,know
1120,ouvert,21418,open
1121,héros,21415,hero
1122,menti,21357,save
1123,mer,21299,more
1124,contente,21297,satisfied
1125,quitté,21209,quits
1126,jeter,21209,jeter
1127,sauvé,21184,Safe
1128,bière,21153,beer
1129,assis,21149,sat
1130,robe,21141,robe
1131,ecoutez,21141,Listen
1132,devient,21122,becomes
1133,félicitations,21101,Congratulations
1134,opération,21099,operation
1135,prévu,21029,foreseen
1136,fut,21012,was
1137,tenez,20998,hold
1138,livres,20995,books
1139,répondre,20990,answer
1140,seuls,20989,only
1141,pute,20985,whore
1142,entrée,20964,entrance
1143,vol,20952,vol
1144,horrible,20910,horrible
1145,vin,20883,become
1146,dommage,20879,Shame
1147,dites-moi,20865,tell me
1148,auriez,20842,would have
1149,colonel,20840,colonel
1150,ramener,20818,to bring back
1151,règles,20817,rules
1152,nez,20807,nose
1153,justice,20765,justice
1154,fbi,20727,fbi
1155,découvert,20726,discovered
1156,départ,20689,departure
1157,bruit,20665,noise
1158,secours,20663,rescue
1159,vérifier,20657,check
1160,enceinte,20595,pregnant
1161,mise,20571,putting
1162,témoin,20543,witness
1163,dirais,20539,would say
1164,directeur,20517,director
1165,intéressant,20484,interesting
1166,excuse,20473,excuse
1167,environ,20468,approximately
1168,t,20438,t
1169,inutile,20414,useless
1170,terrible,20402,terrible
1171,danse,20395,dance
1172,position,20385,position
1173,humain,20379,human
1174,apparemment,20336,apparently
1175,avenir,20307,future
1176,rêves,20260,dreams
1177,œil,20209,eye
1178,bête,20196,beast
1179,sérieusement,20120,seriously
1180,bravo,20115,bravo
1181,approche,20087,approach
1182,nourriture,20052,food
1183,fric,20041,money
1184,plupart,20040,plupart
1185,lycée,20038,high school
1186,tas,20038,that
1187,empêcher,20006,to prevent
1188,longue,20004,long
1189,sexe,19997,sex
1190,niveau,19994,level
1191,banque,19988,bank
1192,éviter,19974,avoid
1193,étions,19964,were
1194,lune,19957,moon
1195,pitié,19942,pity
1196,liberté,19931,freedom
1197,expérience,19918,experience
1198,procès,19903,trial
1199,radio,19903,radio
1200,hum,19890,hum
1201,verra,19883,worse
1202,thé,19875,tea
1203,partez,19853,set off
1204,utilisé,19845,used
1205,mur,19838,wall
